Название ↑↓,Население ↑↓,Регион ↑↓,X,Y
Алма-Ата,1 501 000,город республиканского значения Алматы,76.889709,43.238949
Нур-Султан,780 880,город республиканского значения Нур-Султан,71.449074,51.169392
Шымкент,642 602,Южно-Казахстанская область,69.590103,42.341686
Караганда,475 267,Карагандинская область,,
Актобе,367 220,Актюбинская область,,
Тараз,326 168,Жамбылская область,71.398430,42.896088
Павлодар,322 207,Павлодарская область,,
Семей,314 724,Восточно-Казахстанская область,,
Усть-Каменогорск,309 253,Восточно-Казахстанская область,82.605774,49.958931
Уральск,218 158,Западно-Казахстанская область,,
Костанай,216 373,Костанайская область,,
Петропавловск,204 291,Северо-Казахстанская область,,
Кызылорда,201 573,Кызылординская область,,
Атырау,182 885,Атырауская область,51.924622,47.105045
Актау,178 002,Мангистауская область,51.260834,43.693695
Темиртау,173 756,Карагандинская область,,
Туркестан,150 671,Южно-Казахстанская область,,
Кокшетау,136 892,Акмолинская область,,
Талдыкорган,130 268,Алматинская область,,
Экибастуз,128 532,Павлодарская область,,
Рудный,113 659,Костанайская область,,
Жанаозен,99 124,Мангистауская область,,
Жезказган,85 923,Карагандинская область,,
Балхаш,69 665,Карагандинская область,,
Сатпаев,61 276,Карагандинская область,,
Каскелен,59 650,Алматинская область,,
Кентау,59 425,Южно-Казахстанская область,,
Кульсары,52 777,Атырауская область,,
Риддер,49 345,Восточно-Казахстанская область,,
Талгар,47 325,Алматинская область,,
Степногорск,46 397,Акмолинская область,,
Щучинск,44 851,Акмолинская область,,
Сарань,42 689,Карагандинская область,,
Сарыагаш,42 599,Южно-Казахстанская область,,
Аксу,42 408,Павлодарская область,,
Капчагай,42 380,Алматинская область,,
Жаркент,41 117,Алматинская область,,
Зыряновск,38 124,Восточно-Казахстанская область,,
Байконур,37 739,Кызылординская область,,
Аягуз,37 370,Восточно-Казахстанская область,,
Жетысай,37 131,Южно-Казахстанская область,,
Шахтинск,37 098,Карагандинская область,,
Есик,36 711,Алматинская область,,
Лисаковск,36 634,Костанайская область,,
Шу,35 828,Жамбылская область,,
Шардара,35 814,Южно-Казахстанская область,,
Житикара,34 686,Костанайская область,,
Аксай,33 615,Западно-Казахстанская область,,
Аральск,31 038,Кызылординская область,,
Кандыагаш,30 263,Актюбинская область,,
Атбасар,29 993,Акмолинская область,,
Текели,27 901,Алматинская область,,
Аркалык,27 744,Костанайская область,,
Каратау,27 738,Жамбылская область,,
Шалкар,27 000,Актюбинская область,,
Абай,26 443,Карагандинская область,,
Уштобе,24 759,Алматинская область,,
Хромтау,24 703,Актюбинская область,,
Арыс,23 716,Южно-Казахстанская область,,
Жанатас,21 180,Жамбылская область,,
Ленгер,20 295,Южно-Казахстанская область,,
Алга,19 694,Актюбинская область,,
Шемонаиха,18 484,Восточно-Казахстанская область,,
Макинск,16 809,Акмолинская область,,
Ушарал,16 391,Алматинская область,,
Зайсан,15 070,Восточно-Казахстанская область,,
Сарканд,14 254,Алматинская область,,
Акколь,13 570,Акмолинская область,,
Приозёрск,13 469,Карагандинская область,,
Тайынша,11 783,Северо-Казахстанская область,,
Эмба,11 409,Актюбинская область,,
Курчатов,11 317,Восточно-Казахстанская область,,
Ерейментау,11 289,Акмолинская область,,
Есиль,11 128,Акмолинская область,,
Каражал,9 760,Карагандинская область,,
Серебрянск,9 595,Восточно-Казахстанская область,,
Каркаралинск,8 810,Карагандинская область,,
Булаево,8 032,Северо-Казахстанская область,,
Чарск,7 883,Восточно-Казахстанская область,,
Сергеевка,7 430,Северо-Казахстанская область,,
Мамлютка,7 339,Северо-Казахстанская область,,
Казалинск,6 818,Кызылординская область,,
Державинск,6 302,Акмолинская область,,
Форт-Шевченко,5 071,Мангистауская область,,
Степняк,3 967,Акмолинская область,,
Темир,2 555,Актюбинская область,,
Жем,1 942,Актюбинская область,,